index,Customer_ID,frequency,recency,T,monetary_value,expected_purchases_3_months,cltv,cltv_segment,expected_purchases_1_month,expected_purchases_6_months,expected_average_profit,purchase_risk
0,12346,10.0,400.0,725.0,55.4,0.26779289087725816,14.803141989203173,Medium,,,,True
1,12347,7.0,402.0,404.0,68.74428571428571,1.4811879740348493,102.21367943376399,VIP,,,,False
2,12348,4.0,363.0,438.0,44.6775,0.8072978977021728,37.088111082340724,High,,,,True
3,12349,4.0,717.0,735.0,370.11,0.5171326022244882,193.76915508736425,VIP,,,,True
4,12352,8.0,356.0,392.0,281.65625,1.6987528313337794,476.7864514744116,VIP,,,,False
5,12353,1.0,204.0,408.0,24.299999999999997,0.2658574525042454,8.126518920364223,Low,,,,True
6,12355,1.0,353.0,567.0,54.65,0.20681251882849,13.300379827884491,Medium,,,,True
7,12356,5.0,402.0,424.0,72.882,1.0371753981506424,76.56773392104725,High,,,,False
8,12357,1.0,355.0,388.0,438.67,0.3100479339233593,152.32279260440544,VIP,,,,True
9,12358,4.0,730.0,731.0,79.375,0.5211832711420441,42.2119337278011,High,,,,True
10,12359,12.0,727.0,734.0,216.07166666666663,1.430881230349306,306.49274472273964,VIP,,,,False
11,12360,7.0,603.0,655.0,103.07571428571428,0.9463192379540423,97.70017128635706,VIP,,,,True
12,12361,3.0,395.0,682.0,27.916666666666668,0.37095196282877263,10.971762683367988,Low,,,,True
13,12362,13.0,735.0,738.0,83.33,1.5380609832794816,127.17589280386109,VIP,,,,False
14,12363,1.0,133.0,242.0,16.67,0.42898687990862483,9.473859646027158,Low,,,,True
15,12364,3.0,105.0,112.0,30.98333333333333,1.9095124672565835,62.459843863619845,High,,,,False
16,12369,2.0,228.0,641.0,120.555,0.22390455442610124,28.4980002987716,Medium,,,,True
17,12370,5.0,617.0,668.0,111.73600000000002,0.6840291190484792,77.18297196171241,High,,,,True
18,12371,3.0,601.0,645.0,161.70000000000002,0.4525615489442312,75.177310882325,High,,,,True
19,12372,2.0,225.0,296.0,46.07,0.6294913861324246,31.265500652493987,Medium,,,,True
